Название,Время чтения,Просмотры,Текст,Ключевые слова,Ссылка
Анонимные мессенджеры: лучшие решения для конфиденциального общения,5 мин,Количество просмотров11,"В наше время защита приватности и данных чрезвычайно важна. Пользователи все чаще выбирают мессенджеры, которые гарантируют безопасность, включая сквозное шифрование и минимальный сбор метаданных. Каждый из них, что логично, имеет свои особенности. Так, вопросы безопасности решаются разработчиками по-разному. Предлагаются уникальные решения для защиты от слежки и сохранения конфиденциальности. В этой статье я расскажу про несколько таких программ. Если какие-то не упомянуты - расскажите, пожалуйста, о них в комментариях.","Информационная безопасность*, Мессенджеры*, Стандарты связи*",https://habr.com/ru/articles/858902/
B2B UX: Информационная архитектура и проектирование обзорного экрана в BI-системе,13 мин,Количество просмотров5,"В чём часто заключается проблема стартовой страницы BI-системы или её раздела?В том, что её проектируют в первую очередь, когда стремятся «показать товар лицом» либо просто следуют порядковому номеру работы.При этом более логичный перенос этих работ на финальные стадии проекта тоже не гарантирует хорошего результата.","Блог компании КОРУС Консалтинг, Анализ и проектирование систем*, Интерфейсы*",https://habr.com/ru/companies/korus_consulting/articles/858900/
7 продвинутых приемов pandas для науки о данных,4 мин,Количество просмотров73,"Pandas — это основная библиотека для работы с данными. Вот несколько приёмов, которые я использую, чтобы быстрее и проще выполнять повторяющиеся задачи по работе с данными.","Python*, SQL*, PostgreSQL*, Data Engineering*",https://habr.com/ru/articles/858894/
Тестирование BMС: поговорим о нагрузочном тестировании,7 мин,Количество просмотров154,"Хабр, привет! Мы в компании Аквариус стремимся к тому, чтобы тестирование проходило без активного участия человека. Поэтому, продолжая предыдущую нашу статью про автоматизированное тестирование BMC: Тестирование BMC: Автоматизировать! Нельзя все руками, я расскажу про универсальное решение, которое мы создаем для получения показателей производительности BMC. Зачем это нужно и как мы пытаемся применять накопленный опыт в других направлениях, например при тестировании производительности нового для компании направления — СХД (Система Хранения Данных).","Блог компании ПК Аквариус, Тестирование IT-систем*, Компьютерное железо, Производство и разработка электроники*",https://habr.com/ru/companies/aquarius/articles/858884/
Крупные и не очень производители электроники переезжают из Китая во Вьетнам. Что происходит?,4 мин,Количество просмотров441,"Привет! Это Даша Волкова из МТС Диджитал. В октябре я писала, что Вьетнам представил амбициозный план по превращению страны в один из центров разработки производства электроники к 2050 году. Отличие от Китая здесь в том, что правительство открыто приглашает партнеров, крупные корпорации, строить заводы во Вьетнаме. Никаких санкций со стороны Запада нет, так что и проблем в работе с западными компаниями нет тоже. Судя по всему, этот план уже дает первые результаты: некоторые производители переезжают из Китая.","Блог компании МТС, Производство и разработка электроники*, IT-компании",https://habr.com/ru/companies/ru_mts/articles/858836/
Обзор Mesh-системы Tenda Nova EX3: WiFi 6 на 200 м2,10 мин,Количество просмотров221,"Mesh-системы незаменимы, когда требуется организовать доступ к сети по WiFi в больших квартирах и частных домах. Они устраняют мёртвые зоны и обеспечивают бесшовный роуминг — незаметное переключение к другой точке доступа при перемещении между комнатами.","Блог компании e2e4, Mesh-сети*",https://habr.com/ru/companies/e2e4online/articles/858870/
Безопасность мобильных устройств: интервью с экспертом Positive Technologies,9 мин,Количество просмотров275,Недавно в гостях у канала AUTHORITY побывал руководитель отдела перспективных технологий Positive Technologies Николай Анисеня.,"Блог компании Positive Technologies, Информационная безопасность*, Bug hunters*, Тестирование мобильных приложений*, Учебный процесс в IT",https://habr.com/ru/companies/pt/articles/858732/
"Fixed Price, Time & Material или Retainer? Как не ошибиться с выбором для долгосрочного партнерства",8 мин,Количество просмотров60,"Представьте, что вы, к примеру, директор по цифровому развитию крупного бизнеса, и вам нужно защитить перед начальством условия договора с IT-интегратором. Предполагаю, выбирая из вариантов Fixed Price, Time & Material или Retainer, вы остановитесь на каком-то из первых двух типов контракта. Еще бы – один обещает бюджет без “сюрпризов” и предполагает контроль по заданному плану, другой – предоставляет гибкость и свободу действий.","CRM-системы*, IT-компании, IT-стандарты*, Управление проектами*",https://habr.com/ru/articles/858862/
Создание кастомного балансировщика нагрузки на Go для gRPC с приоритизацией адресов,7 мин,Количество просмотров254,"В процессе разработки микросервисных приложений часто необходимо наладить эффективную и быструю коммуникацию между сервисами. Разработанный Google gRPC предоставляет высокопроизводительный фреймворк для организации такого взаимодействия. Однако стандартные балансировщики нагрузки в gRPC не всегда удовлетворяют специфическим требованиям, особенно когда требуется приоритизация адресов для минимизации сетевых задержек и обеспечения отказоустойчивости.","Блог компании VK, Go*, Программирование*",https://habr.com/ru/companies/vk/articles/858290/
"AD-X2: присадка для аккумуляторов, взбудоражившая Америку",11 мин,Количество просмотров807,"На дворе 1947 год, и США оправляются от разрушительных последствий Второй мировой войны. Жизнь людей потихоньку возвращается в мирное русло, и многие ищут новые способы заработать.","Блог компании FirstVDS, История IT, Научно-популярное, Энергия и элементы питания, Производство и разработка электроники*",https://habr.com/ru/companies/first/articles/858856/
Release notes. Маркетинг или искусство?,5 мин,Количество просмотров119,"Привет! Главный герой сегодняшней статьи – release notes. Кажется, зачем о них говорить? Ведь никто их не читает, не смотрит. И все же именно посредством таких заметок пользователи могут видеть, что происходит с тем продуктом, которым они пользуются. Именно благодаря release notes пользователи понимают, что продукт не только жив, но также развивается в конкретном направлении. Регулярные и классно написанные release notes – признак того, что команда разработки и бизнес не стоят на месте.",Разработка мобильных приложений*,https://habr.com/ru/articles/858846/
Сообщники хакеров поневоле: как сотрудники влияют на информационную безопасность и что с этим делать,6 мин,Количество просмотров183,"В условиях стремительного развития технологий и постоянного увеличения числа киберугроз, киберграмотность становится не просто желательной, а необходимой компетенцией для всех сотрудников в компаниях. Киберугрозы, такие как фишинг, вредоносные программы и утечки данных, могут нанести серьезный ущерб не только финансовому состоянию компании, но и её деловой репутации. Обучение киберграмотности не только повышает уровень безопасности внутри компании, но и формирует культуру ответственности за защиту информации.","Блог компании Уральский центр систем безопасности, Информационная безопасность*",https://habr.com/ru/companies/ussc/articles/858852/
Почему в разработке чат-ботов мы в качестве основы используем Jmix,5 мин,Количество просмотров186,И за шесть лет работы в нашей айти-команде пока не нашли ни одного критичного минуса. Рассказываю про наш опыт.,Java*,https://habr.com/ru/articles/854056/
Красную карточку этому роботу! Участники RoboCup — о современном робофутболе,7 мин,Количество просмотров179,"Соревнования по робофутболу зародились более 20 лет назад, и с тех пор стали не только спортивным событием, но и исследовательской площадкой для отработки современных технологий на стыке AI/ML и робототехники. Разные лиги позволяют инженерам со всего мира разрабатывать и совершенствовать роботов, которые умеют ориентироваться на поле, передвигаться и общаться друг с другом.","Блог компании YADRO, Разработка робототехники*, Робототехника, Научно-популярное, История IT",https://habr.com/ru/companies/yadro/articles/858822/
Дюжина ошибок мессенджера Telegram,12 мин,Количество просмотров1.4K,"Все мы знаем, что такое Telegram. Наверняка и вы, читатель, им пользуетесь. Как и в любом другом проекте, в коде Telegram тоже есть баги, и, если вы программист, эта статья специально для вас! Мы проверили исходный код мессенджера и готовы поделиться с вами интересными находками.","Блог компании PVS-Studio, C++*, Bug hunters*, Open source*",https://habr.com/ru/companies/pvs-studio/articles/858810/
Являются ли старение и смерть эволюционным преимуществом? Отвечает компьютерное моделирование,7 мин,Количество просмотров1.3K,"Правдивая история о том, как я работал адвокатом для неприятной дамы с косой.","Биология, Экология, Статистика в IT, Программирование*, Научно-популярное",https://habr.com/ru/articles/858802/
Сенсорный пин-пад и как он работает,9 мин,Количество просмотров1.1K,"Любитель поездов, трамваев и старых компьютеров","Блог компании Timeweb Cloud, Платежные системы*, Разработка под Android*, Реверс-инжиниринг*, Схемотехника*",https://habr.com/ru/companies/timeweb/articles/855826/
Чему нас может научить поиск причинно-следственных связей в IT-мониторинге? (часть 1),8 мин,Количество просмотров195,"Стремление понять, почему происходят те или иные события, заложено в человеческой природе. Мы постоянно ищем причинно-следственные связи, чтобы предсказывать будущее, принимать решения и улучшать свою жизнь. Но как это стремление проявляется в мире IT-мониторинга?","IT-инфраструктура*, Искусственный интеллект, Исследования и прогнозы в IT*, Машинное обучение*, Серверное администрирование*",https://habr.com/ru/articles/858712/
Кроссплатформенный терминал Modbus TCP / RTU / ASCII с открытым исходным кодом: Часть 2,6 мин,Количество просмотров763,"Прошло уже достаточно времени с публикации предыдущей статьи. За это время я значительно улучшил приложение. Миграция проекта с WPF на Avalonia UI, обновленный дизайн, работа с числами типа float, а также другие возможности появились в новой версии моего Modbus терминала.",".NET*, Инженерные системы*, Разработка под Windows*, Разработка под Linux*, Программирование микроконтроллеров*",https://habr.com/ru/articles/854824/
Дополнение к Litchi,3 мин,Количество просмотров202,"Почитав эту статью: https://habr.com/ru/articles/684858 (особенно заинтересовали Waypoints) и обзаведясь коптером DJI,  пришел к выводу - да, классно, здорово, но не удобно. Если стоит задача облететь и снять видео поля площадью пару десятков гектаров, то ставить ручками точки маршрута не очень удобно. Занимает много времени.","Python*, JavaScript*",https://habr.com/ru/articles/858774/
"Загрузка и обработка видеофайлов посредством Minio, REST и FFmpeg",22 мин,Количество просмотров530,"Всем привет! Меня зовут Павлов Денис, я .NET backend разработчик в компании DD Planet.",".NET*, C#*, Программирование*, Работа с видео*, Хранение данных*",https://habr.com/ru/articles/858768/
Подборка контента по алгоритмам с 4 лет до бесконечности,7 мин,Количество просмотров878,"Алгоритмы — они повсюду. Помните, грызли структуры данных в первую сессию? Или открывали лекции по ИТ и видели, что программирование начинается не с реальных жизненных задач, а с алгосов.","Блог компании Альфа-Банк, Алгоритмы*, Учебный процесс в IT, Карьера в IT-индустрии",https://habr.com/ru/companies/alfa/articles/855366/
Test-Driven Development: как полюбить модульное тестирование,12 мин,Количество просмотров641,"Как и многие, я, как мог, сопротивлялся Test-Driven Development. Я не понимал, почему тесты нужно писать перед реализацией. Почему мы должны выворачивать разработку наизнанку и переворачивать естественный, как мне тогда казалось, процесс, с ног на голову.","Блог компании Сбер, Программирование*, Тестирование веб-сервисов*, Java*, Kotlin*",https://habr.com/ru/companies/sberbank/articles/851052/
Проверяем фактор автобуса для опенсорсных проектов,5 мин,Количество просмотров611,"Из Википедии: фактор автобуса (англ. bus factor, либо truck factor) проекта — это мера сосредоточения информации среди отдельных членов проекта; фактор показывает количество участников проекта, после потери которых (в оригинале — «попадания» которых под автобус или грузовик, варианты: увольнения, заболевания, рождения у них ребёнка, наступления несчастного случая и других форс-мажорных обстоятельств) проект не сможет быть завершён оставшимися участниками.","Open source*, GitHub*, Разработка под Linux*",https://habr.com/ru/articles/858374/
"Краткий обзор форума GIS DAYS 2024: импортозамещение, «ИБ-Пророк» и сессии Business Day",8 мин,Количество просмотров209,"Сегодня мы завершим наш обзор форума GIS DAYS 2024 и расскажем, как прошёл Business Day, который был посвящён бизнесу и инновациям. Сначала была проведена пленарная дискуссия «Промежуточные итоги импортозамещения в ИБ», участие в которой приняли известные эксперты. Обсуждали такие вопросы, как действия, которые необходимы, чтобы ничего не приходилось замещать, наиболее частые проблемы при импортозамещении, классы ПО, которые так и не удалось эффективно импортозаместить, и другие.","Блог компании Газинформсервис, Информационная безопасность*",https://habr.com/ru/companies/gaz-is/articles/854570/
Инфраструктура для Data-Engineer BI-tools,7 мин,Количество просмотров226,"BI (Business Intelligence) – это инструмент или несколько инструментов, которые помогают собрать данные в нужный вид и посмотреть на бизнес со стороны данных.","Data Engineering*, Big Data*, Хранилища данных*, Хранение данных*, IT-инфраструктура*",https://habr.com/ru/articles/856922/
"Телеграм не бот, REST API wrapper для управления аккаунтом но не ботом",6 мин,Количество просмотров511,"Давно пишу ботов для телеграмм, использую golang. Понадобился функционал - сканировать каналы по ссылке. Бот такое не может, это уже более сложное апи, порылся - нашел библиотеку на golang, попробовал - сложно. Нашел на питоне - проще. Но на питоне не хочется. Так родилась идея сделать простую обертку REST API для основного функционала: вступить в группу, прочитать сообщения, узнать информацию о группе, написать сообщение, и чтобы курлом все работало...","Python*, API*",https://habr.com/ru/articles/858746/
Патчим freezed,7 мин,Количество просмотров290,"freezed — один из популярнейших пакетов для генерации дата‑классов и перечислений в Dart. Но, к сожалению, он пока не генерирует дружественные классы‑патчи, чтобы можно было легко и быстро пропатчить дата‑класс в рантайме. Исправим же это!","Dart*, Flutter*, Локализация продуктов*, Разработка мобильных приложений*",https://habr.com/ru/articles/851666/
Mock-серверы в Postman,3 мин,Количество просмотров520,"Приветствую! Сегодня расскажем вам про то, как реализовать Mock-серверы в Postman.","Блог компании OTUS, Тестирование веб-сервисов*",https://habr.com/ru/companies/otus/articles/857112/
Зачем я написал ещё одну утилиту мониторинга CPU для Мака,4 мин,Количество просмотров1.9K,"Привет, чат. Хочу во-первых рассказать вам историю разочарования в довольно известной утилите для мониторинга потребления энергии и загрузки CPU в macOS — MX Power Gadget. А во-вторых, поделиться очень простой заменой, которую я собрал за пару вечеров — pgauge.","Разработка под macOS*, Операционные системы",https://habr.com/ru/articles/858736/
Как гравитационная линза стала космическим телескопом,11 мин,Количество просмотров2.5K,"Около года назад я опубликовал статью «Ещё раз об экзоконтинентах, тектонике плит и зарождении жизни» (+40, 7,1 тыс. просмотров), в которой оставлял небольшой дисклеймер: сейчас все предположения о соотношении суши и воды на внесолнечных планетах делаются на кончике пера и исходя из косвенных данных (спектроскопии). Современные телескопы не обладают достаточной разрешающей способностью, чтобы рассмотреть детали рельефа экзопланет. Возможно, эту задачу удастся решить и в ходе поступательного развития космических телескопов, но сегодня я хочу напомнить, что в природе существует и естественный мощный аналог космического телескопа — гравитационная линза.","Научно-популярное, Астрономия, Физика, Машинное обучение*",https://habr.com/ru/articles/858730/
"Первый Pattern, первый квест",9 мин,Количество просмотров1.2K,Паттерн Команда (Hello World + Undo),"C++*, Разработка игр*",https://habr.com/ru/articles/858722/
Разбей и властвуй: как создать кастомный токенизатор в SpaCy,4 мин,Количество просмотров423,"Привет, Хабр! Сегодня расскажем вам о том, как создавать собственные токенизаторы с SpaCy. Да-да, тот самый SpaCy, который мы все знаем и любим.","Блог компании OTUS, Python*, Программирование*, Машинное обучение*",https://habr.com/ru/companies/otus/articles/855442/
Mattermost + Jitsi + k8s,7 мин,Количество просмотров839,"В данной статье будет показан процесс установки мессенджера Mattermost в связке с Jitsi для ВКС в самой простой, на мой взгляд, конфигурации в Kubernetes кластер.Почему выбор пал именно на эти приложения:- При необходимости все можно запустить в закрытом контуре- Нет привязки к облачным провайдерамНу и главная причина, почему я начал все это настраивать:- В моем конкретном случае связка Яндекс-Телемост/Мессенджер не позволяет аккаунтам из разных организаций Яндекс 360 работать в одном рабочем пространстве.Обязательно уберу этот пункт, когда они исправятся :-)- И пока что я не нашел подобной статьи на Хабре даже по отдельности :-)","DevOps*, Kubernetes*",https://habr.com/ru/articles/858710/
Оптимистические и пессимистические блокировки на примере Hibernate (JPA),4 мин,Количество просмотров1K,"Привет, Хабр! Недавно пытался изучить тему «оптимистические» и «пессимистические» блокировки, но на мое удивление ни в ру сегменте, ни в англ — хороших статей, которые дают полное представление об двух типах блокировок с применением Hibernate, — нет, поэтому я решил агрегировать всю информацию в одной короткой статье. Так как это моя первая статья, буду рад критике:) Итак, погнали.","Java*, Администрирование баз данных*",https://habr.com/ru/articles/858714/
Контур + GFS = Kanso. История развития файловой системы,10 мин,Количество просмотров900,"Привет! Я Антон, работаю в команде базовой инфраструктуры Контура и последние несколько лет занимаюсь развитием Kanso – распределенной системы хранения данных. Это наш форк GFS (Google File System). Мы развиваем Kanso уже более 15 лет, в статье я расскажу про это подробнее.","Блог компании Контур, Распределённые системы*, C#*",https://habr.com/ru/companies/skbkontur/articles/858526/
